Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Acanthocyclops robustus	d63a685097756b1c2cf45229db57cac0		6.5	0.8	0.0001	1.685e-05	0.1	0.95		1391.0		4400.0	0.0					6.086e-05	0.002		0.0123		18.7654	0.9199	0.01191	
Acanthopagrus berda	743fc93b06d76f028c95835e6bd733e0		6.5	0.8	0.0001	2.899e-11	0.1	0.95		12.99		5226.0	0.0			559.3		0.01002	0.002		13440.0		5.32727	0.95	0.08507	
Achatina achatina	8dbb31a2c43f4fdceea9d8c5d3fcacce		6.5	0.8	0.0001	4.428e-10	0.1	0.475		17.5078		3925.92	0.0			134.0		11.72	0.002		13550.0		46.5274	0.89764	0.069567	
Achoerodus viridis	1004ac3c0d8d6bd825bbe8058bc5c012		6.5	0.8	0.0001	2.026e-12	0.1	0.95		17.96		5227.0	0.0			27020.0		0.07268	0.002		67790.0		4.41471	0.8588	0.1591	
Acipenser ruthenus	0b96730a682802ff925457b4832bce69		6.5	0.8	0.0001	1.861e-08	0.1	0.95		11.83		5280.0	0.0					0.02358	0.002		6536.0		179.83	0.994	0.05407	
Acipenser sturio	91d2d822ff7160abb9b9e57817711028		6.5	0.8	0.0001	2.688e-10	0.1	0.95		17.28		5232.0	0.0					2.555	0.002		7761000.0		845.736	0.8373	0.03179	
Acyrthosiphon pisum	44ea1145b8bdaf4e4ba0a72242bbeb8c		6.5	0.8	0.0001	0.04509	0.1	0.95		17.64		4449.0	0.0					0.1112	0.002		3.125		205.927	0.7641	0.031	
Aedes aegypti	659d82334ce06794ac14a699fe41bb4d		6.5	0.8	0.0001	0.0860414	0.18	0.95	0.998662	23.57		4400.0	0.0	0.997476			0.0166888	0.00328786	0.002				359.669	0.631228	0.00581869	
Aegotheles cristatus	e77dc5c18f2a229366e15a70c599332f		6.5	0.8	0.05	3.56e-17	0.1	0.95		30.2905		7289.62	0.0					2903.0	0.002		5588.0		118.212	0.92459	0.043551	
Aepyceros melampus	0747c465edaff4d5301bd9f9baab8e52		6.5	0.8	0.1	1.96822e-13	0.1	0.95		26.5557		7843.33	0.0					16802200.0	0.002	50044100.0	147952000.0		1316.5	0.461564	0.0765282	0.0
Aethia cristatella	7048c7929886b0410e3501585b00d8a9		6.5	0.8	0.01	2.504e-15	0.1	0.95		613.792		7321.75	0.0					10010.0	0.002		1624000.0		2906.5	0.9415	0.19336	
Aethia pusilla	eedd1a360668ef531a40b98d4493618e		6.5	0.8	0.01	1.158e-14	0.1	0.95		749.079		7320.18	0.0					5016.0	0.002		689700.0		2461.94	0.93853	0.16667	
Aglaoctenus lagotis	4f7f7da06de383e86a5bfe76f10bb859		6.5	0.8	0.0001	3.7643e-07	0.1	0.95		25.1455		4434.83	0.0			4.93094		0.154662	0.002		75.5595		7.90957	0.857267	0.00620346	
Ailuropoda melanoleuca	e2e3653c631047a2e41328c4dc46151e		6.5	0.8	0.05	4.674e-13	0.1	0.95		166.19		7804.32	0.0					1341.0	0.002	563900.0	7441000.0		3761.57	0.99197	0.049864	16.3806
Albula vulpes	954d4564780d4574570377f3efae7a5f		6.5	0.8	0.0001	8.191e-10	0.1	0.95		8.985	0.05	5238.0	0.0		16.1			0.0678	0.002		31710.0	11.22	156.811	0.9649	0.05298	
Alces alces	fc7d998315ba4a3e50cfab10954bdc45		6.5	0.89977	0.3	1.138e-35	0.1	0.95		46.0414		7823.5	0.0					10940000.0	0.002	84970000.0	551800000.0		2830.35	0.837	0.24176	151.399
Alectura lathami	0af00c8374b5551a726a6d761528a5a8		6.5	0.8	0.05	2.982e-15	0.1	0.95		20.8595		7313.04	0.0					184100.0	0.002		241600.0		311.179	0.7668	0.097667	
Alle alle	7e352142ba90a4d7bd1f4e11494432e9		6.5	0.8	0.01	8.92e-23	0.1	0.95		895.699		7321.49	0.0					719.9	0.002		121700.0		3394.83	0.99334	0.25676	
Alligator mississippiensis	258a54f64c1a663997eb9cca0549f840		6.5	0.8	0.0001	3.411e-11	0.1	0.95		14.92		7863.0	0.0					24330.0	0.002		22340000.0		585.179	0.8628	0.04296	
Alosa sapidissima	540d73069202e6462f72e6981a5d1e4c		6.5	0.8	0.0001	1.713e-08	0.1	0.95		331.5		5214.0	0.0			5.496		0.781	0.002		7224000.0		1772.71	0.6287	0.03018	
Alouatta palliata	06bc9289566826026b931f3c8667a0c2		6.5	0.8	0.05	1.40806e-14	0.1	0.95		6.79159		7858.97	0.0					775709.0	0.002	1501180.0	3392860.0		153.246	0.772213	0.120677	143.082
Amia calva	d526fe4bb2cd5cf0d8edcbee9b0a07c4		6.5	0.8	0.0001	5.115e-08	0.1	0.95		154.0		5221.0	0.0					5.289	0.002		1364000.0		1720.86	0.5637	0.02561	
Amphisbaena alba	e9c5fca6f18472b4bdb1059cc9b179d0		6.5	0.8	0.0001	1.617e-09	0.1	0.95		18.24		7845.0	0.0					4099.0	0.002		146600.0		154.404	0.8079	0.02034	
Anarhichas denticulatus	82231bb18c0352f531625d3a170c6d25		6.5	0.8	0.0001	2.5949e-07	0.1	0.95		230.277		5225.0	0.0			131492.0		51.4737	0.002		6924140.0		421.678	0.73297	0.017131	
Anarhichas lupus	1b5a06078230b478e2aac29ce38c6cea		6.5	0.8	0.0001	3.76917e-09	0.1	0.95		19.7499		5228.5	0.0			56469.7		88.649	0.002		706454.0		80.2195	0.674027	0.0408017	
Anas platyrhynchos	e0ba320731e80caf95de527439aa69b3		6.5	0.8	0.02	4.508e-36	0.1	0.95		18.6503		7318.36	0.0					14770.0	0.002		71280.0		197.235	0.93811	0.36295	
Andrias japonicus	41349267f4b608eff2affa9111ed15de		6.5	0.8	0.0001	4.798e-10	0.1	0.95		4.81		6546.0	0.0					96.69	0.002		175300.0		157.376	0.927	0.09507	
Anguilla anguilla	b81dfd849eb83bca1705a2f0c0e671dd		6.5	0.8	0.0001	1.342e-08	0.1	0.95		22.92	0.05	5222.0	0.0		20.3			0.04857	0.002		12590.0	0.0005	301.111	0.9157	0.06093	
