Name	CoL ID	E_Rj (log10 J/cm^3)	F_m (log10 l/d.cm^2)	kap_X (log10 -)	s_G (log10 -)	h_a (log10 1/d^2)	kap_P (log10 -)	kap_R (log10 -)	kap_V (log10 -)	p_M (log10 J/d.cm^3)	k_E (log10 1/d)	E_G (log10 J/cm^3)	p_T (log10 J/d.cm^2)	s_j (log10 -)	t_sj (log10 d)	E_Hj (log10 J)	E_He (log10 J)	E_Hb (log10 J)	k_J (log10 1/d)	E_Hx (log10 J)	E_Hp (log10 J)	E_Hs (log10 J)	p_Am (log10 J/d.cm^2)	kap (log10 -)	v (log10 cm/d)	t_0 (log10 d)
Acanthocyclops robustus	d63a685097756b1c2cf45229db57cac0		0.812913356643	-0.0969100130081	-4.0	-4.77340009479	-1.0	-0.0222763947112		3.14332712999		3.64345267649						-4.21566805198	-2.69897000434		-1.91009488856		1.27335782619	-0.0362593811421	-1.92408823852	
Acanthopagrus berda	743fc93b06d76f028c95835e6bd733e0		0.812913356643	-0.0969100130081	-4.0	-10.5377517846	-1.0	-0.0222763947112		1.11360915107		3.71816940539				2.74764481933		-1.99913227847	-2.69897000434		4.12839926872		0.726504708525	-0.0222763947112	-1.0702235672	
Achatina achatina	8dbb31a2c43f4fdceea9d8c5d3fcacce		0.812913356643	-0.0969100130081	-4.0	-9.35379238779	-1.0	-0.323306390375		1.24323157682		3.59394144557				2.12710479836		1.06892761168	-2.69897000434		4.13193929521		1.66770878438	-0.0468978029326	-1.15759672471	
Achoerodus viridis	1004ac3c0d8d6bd825bbe8058bc5c012		0.812913356643	-0.0969100130081	-4.0	-11.693360559	-1.0	-0.0222763947112		1.25430633233		3.7182525001				4.43168534469		-1.13858508136	-2.69897000434		4.83116563391		0.644902180272	-0.0661079642358	-0.798329820353	
Acipenser ruthenus	0b96730a682802ff925457b4832bce69		0.812913356643	-0.0969100130081	-4.0	-7.73025362687	-1.0	-0.0222763947112		1.07298474463		3.72263392253						-1.62745619924	-2.69897000434		3.81531204352		2.25486214428	-0.00261361560269	-1.26704363042	
Acipenser sturio	91d2d822ff7160abb9b9e57817711028		0.812913356643	-0.0969100130081	-4.0	-9.57057073562	-1.0	-0.0222763947112		1.23754373814		3.71866773532						0.407390904471	-2.69897000434		6.88991768344		2.92723481737	-0.0771189087917	-1.49770947209	
Acyrthosiphon pisum	44ea1145b8bdaf4e4ba0a72242bbeb8c		0.812913356643	-0.0969100130081	-4.0	-1.34591976469	-1.0	-0.0222763947112		1.2464985808		3.64826240575						-0.953895212754	-2.69897000434		0.49485002168		2.31371329262	-0.116849800317	-1.50863830617	
Aedes aegypti	659d82334ce06794ac14a699fe41bb4d		0.812913356643	-0.0969100130081	-4.0	-1.06529253172	-0.744727494897	-0.0222763947112	-0.000581475110442	1.37235958252		3.64345267649		-0.00109754495746			-1.77757488993	-2.48308668338	-2.69897000434				2.55590300743	-0.199813744945	-2.23517477992	
Aegotheles cristatus	e77dc5c18f2a229366e15a70c599332f		0.812913356643	-0.0969100130081	-1.30102999566	-16.448550002	-1.0	-0.0222763947112		1.48130644222		3.86270488961						3.46284703583	-2.69897000434		3.74725639744		2.07266156512	-0.03405080803	-1.36100186845	
Aepyceros melampus	0747c465edaff4d5301bd9f9baab8e52		0.812913356643	-0.0969100130081	-1.0	-12.7059263594	-1.0	-0.0222763947112		1.42415775377		3.89450048789						7.2253661499	-2.69897000434	7.69935288324	8.17012084028		3.11942086344	-0.335768071627	-1.11617850148	
Aethia cristatella	7048c7929886b0410e3501585b00d8a9		0.812913356643	-0.0969100130081	-2.0	-14.6013656755	-1.0	-0.0222763947112		2.78802122366		3.86461489588						4.00043407748	-2.69897000434		6.21058602491		3.46337032729	-0.0261796756473	-0.7136333626	
Aethia pusilla	eedd1a360668ef531a40b98d4493618e		0.812913356643	-0.0969100130081	-2.0	-13.9362914406	-1.0	-0.0222763947112		2.87452762205		3.8645217603						3.70035752782	-2.69897000434		5.83866022599		3.39127746452	-0.0275518406492	-0.778142564581	
Aglaoctenus lagotis	4f7f7da06de383e86a5bfe76f10bb859		0.812913356643	-0.0969100130081	-4.0	-6.42431577229	-1.0	-0.0222763947112		1.40046027567		3.64687697671				0.69292971804		-0.810616378075	-2.69897000434		1.8782890754		0.898152873927	-0.0668838938677	-2.20736601376	
Ailuropoda melanoleuca	e2e3653c631047a2e41328c4dc46151e		0.812913356643	-0.0969100130081	-1.30102999566	-12.3303112919	-1.0	-0.0222763947112		2.22060488783		3.89233506843						3.12742877785	-2.69897000434	5.75120209459	6.87163130454		3.57536914813	-0.00350146195013	-1.30221288612	1.21432980536
Albula vulpes	954d4564780d4574570377f3efae7a5f		0.812913356643	-0.0969100130081	-4.0	-9.08666307407	-1.0	-0.0222763947112		0.953518081445	-1.30102999566	3.71916549409			1.20682587603			-1.16877030613	-2.69897000434		4.50119624203	1.04999285692	2.19537652437	-0.0155176935977	-1.27588804604	
Alces alces	fc7d998315ba4a3e50cfab10954bdc45		0.812913356643	-0.0458684911123	-0.52287874528	-34.9438577379	-1.0	-0.0222763947112		1.66314852093		3.8934010869						7.039017322	-2.69897000434	7.92926561825	8.74178169614		3.45184014353	-0.0772745420067	-0.616615553005	2.18012300663
Alectura lathami	0af00c8374b5551a726a6d761528a5a8		0.812913356643	-0.0969100130081	-1.30102999566	-14.5254923609	-1.0	-0.0222763947112		1.31930389422		3.86409794888						5.2650537885	-2.69897000434		5.38309692995		2.49301028082	-0.115317895794	-1.01025215213	
Alle alle	7e352142ba90a4d7bd1f4e11494432e9		0.812913356643	-0.0969100130081	-2.0	-22.0496351456	-1.0	-0.0222763947112		2.95216208935		3.86459947353						2.85727217356	-2.69897000434		5.08529057823		3.53081803137	-0.00290207592512	-0.590472632988	
Alligator mississippiensis	258a54f64c1a663997eb9cca0549f840		0.812913356643	-0.0969100130081	-4.0	-10.4671182806	-1.0	-0.0222763947112		1.17376882314		3.89558827567						4.38614210893	-2.69897000434		7.34908316878		2.76728873244	-0.0640898635695	-1.36693572731	
Alosa sapidissima	540d73069202e6462f72e6981a5d1e4c		0.812913356643	-0.0969100130081	-4.0	-7.76624263703	-1.0	-0.0222763947112		2.52048353274		3.71717102683				0.740046724051		-0.107348966123	-2.69897000434		6.85877773731		3.2486376946	-0.20155653965	-1.52028076456	
Alouatta palliata	06bc9289566826026b931f3c8667a0c2		0.812913356643	-0.0969100130081	-1.30102999566	-13.8513788387	-1.0	-0.0222763947112		0.831971460199		3.89536563095						5.88969883028	-2.69897000434	6.17643276974	6.53056593967		2.18538914746	-0.112262891419	-0.918375494815	2.15558500209
Amia calva	d526fe4bb2cd5cf0d8edcbee9b0a07c4		0.812913356643	-0.0969100130081	-4.0	-7.29115436195	-1.0	-0.0222763947112		2.18752072084		3.71775369321						0.723373567019	-2.69897000434		6.13481437032		3.23574553988	-0.24895196518	-1.59159042153	
Amphisbaena alba	e9c5fca6f18472b4bdb1059cc9b179d0		0.812913356643	-0.0969100130081	-4.0	-8.79128998009	-1.0	-0.0222763947112		1.26102483399		3.89459294792						3.61267791832	-2.69897000434		5.16613397031		2.18865854701	-0.0926423918688	-1.69164905141	
Anarhichas denticulatus	82231bb18c0352f531625d3a170c6d25		0.812913356643	-0.0969100130081	-4.0	-6.58587937396	-1.0	-0.0222763947112		2.36225056292		3.71808629478				5.11889933106		1.71158538705	-2.69897000434		6.84036584034		2.62498094337	-0.134913800394	-1.76621728492	
Anarhichas lupus	1b5a06078230b478e2aac29ce38c6cea		0.812913356643	-0.0969100130081	-4.0	-8.42375427423	-1.0	-0.0222763947112		1.295564901		3.71837711235				4.75181548052		1.94767384093	-2.69897000434		5.84908388848		1.90427995074	-0.17132270626	-1.38932174168	
Anas platyrhynchos	e0ba320731e80caf95de527439aa69b3		0.812913356643	-0.0969100130081	-1.69897000434	-35.3460160926	-1.0	-0.0222763947112		1.27068582206		3.86441376921						4.16938049531	-2.69897000434		4.85296769103		2.29498398443	-0.0277462345505	-0.440153199261	
Andrias japonicus	41349267f4b608eff2affa9111ed15de		0.812913356643	-0.0969100130081	-4.0	-9.31893975637	-1.0	-0.0222763947112		0.682145076374		3.81597600097						1.98538156023	-2.69897000434		5.24378191609		2.19693850272	-0.0329202658555	-1.02195650609	
Anguilla anguilla	b81dfd849eb83bca1705a2f0c0e671dd		0.812913356643	-0.0969100130081	-4.0	-7.87224748417	-1.0	-0.0222763947112		1.3602146133	-1.30102999566	3.71783686749			1.30749603791			-1.31363189653	-2.69897000434		4.10002573011	-3.30102999566	2.47872662118	-0.0382467858132	-1.21516882188	
Anguis fragilis	9d72c2c8f700a5af8c9c3265f68859c7		0.812913356643	-0.0969100130081	-4.0	-9.49921482708	-1.0	-0.0222763947112		1.559188189		3.89359533382						3.06744284278	-2.69897000434		4.2755416884		2.20156097812	-0.193820026016	-1.56098327161	
Anthus pratensis	eb78a0bc492c93711d4c1ca8426d71d9		0.812913356643	-0.0969100130081	-2.0	-19.6882461389	-1.0	-0.0222763947112		3.00560944536		3.86425470046						1.56074330105	-2.69897000434		4.31952244907		3.33931029751	-0.00261798478444	-0.644855103825	
Aotus trivirgatus	1dd3fb0f05b62d171f7075d02a6f0478		0.812913356643	-0.0969100130081	-1.30102999566	-29.8088285443	-1.0	-0.0222763947112		1.77232170672		3.89486965675						5.43854234879	-2.69897000434	6.25695815256	6.91855453055		2.87393875516	-0.204815410318	-0.804100347591	2.10482840365
Apatosaurus spec	4a0bffea523beea537741425173e651f		0.812913356643	-0.0969100130081	-0.301029995664	-15.9531148092	-1.0	-0.0222763947112		1.28171497003		3.89459294792						5.67043140936	-2.69897000434		8.51228406328		3.35433897679	-0.0347982989741	-1.63751752525	
Aphanius fasciatus	ca3b317c12ad025398bec05b234d8a98		-3.36221017064	-2.30024896831	-4.0	-7.31202537997	-0.0969100130081	-0.0222763947112		1.02160271603		3.7194141597						0.335257256435	-2.69897000434		2.23477029516		1.40244022335	-0.118387127522	-1.45001638884	
Aphrastura spinicauda	fc5861eec01a70a052c61fd549cbe59c		0.812913356643	-0.0969100130081	-2.0	-34.3593198467	-1.0	-0.0222763947112		2.90308998699		3.86398569425						3.09516935143	-2.69897000434		5.40414924921		3.23340227781	-0.0381898764288	-0.375470395904	
Aplysia californica	79cd7dad3cdb7a458fa58a0a77eb939c		0.812913356643	-0.0969100130081	-4.0	-5.91399629438	-1.0	-0.323306390375		2.25647720624		3.596377144				3.60129931019		-2.35664603802	-2.69897000434		5.37180645851	-1.27059220304	1.76289303273	-0.0694584701356	-1.93554201077	
Aporrectodea longa	6ba7cb1f971e29fa5b0489de565d4109		0.812913356643	-0.0969100130081	-4.0	-8.84985783815	-1.0	-0.0222763947112		2.38667728396		3.61992771029						0.489536629482	-2.69897000434		3.00389116624		2.56077554058	-0.0106391862238	-0.778585762158	
Apteryx mantelli	a2d2e28e381809c970138675ba310656		0.812913356643	-0.0969100130081	-1.30102999566	-25.7263044121	-1.0	-0.0222763947112		1.35781863863		3.86457040685						5.95861165776	-2.69897000434		6.96303187505		2.67830618756	-0.292225498101	-1.10999279208	
Apus apus	9623ca15e5c36c273a9e571b97ba8107		0.812913356643	-0.0969100130081	-2.0	-49.0411018053	-1.0	-0.0222763947112		2.78402427922		3.86396015078						1.94086497597	-2.69897000434		4.4164740791		3.25768577306	-0.00210708857005	-0.24360734743	
Aquila chrysaetos	5047c9307611462730f7230818a6788a		0.812913356643	-0.0969100130081	-2.0	-50.502655619	-1.0	-0.0222763947112		2.3651527749		3.86456388141						5.8121108412	-2.69897000434		8.3113299523		3.92003875591	-0.437730933153	0.0688534936715	
Arapaima gigas	a8f83fea3aa2f1d343cc2b193eacfdcc		0.812913356643	-0.0969100130081	-4.0	-9.00100002778	-1.0	-0.0222763947112		1.46224821535		3.71792002584						-0.586700235919	-2.69897000434		5.56359972888		2.87986110077	-0.00414552012543	-1.48958905199	
Archaeopteryx lithographica	b9239f5c1ac241577326804d5d856bf6		0.812913356643	-0.0969100130081	-0.301029995664	-18.3411304078	-1.0	-0.0222763947112		1.43376983392		3.89359533382						4.51956550088	-2.69897000434		6.12221587827		2.4174501025	-0.121191067641	-1.59739475808	
Arctica islandica	5c0583f70d0785993185a7411b8a4cae		1.07918124605	-0.154901959986	-4.0	-11.4426131179	-1.0	-0.0222763947112		0.445915413951		3.37180645851				-6.02839947977		-8.7198771037	-2.69897000434		-0.296536658117		0.682980357204	-2.38868533992e-05	-1.89756629432	
Ardeotis kori	185f3057c97c4f10fd7a1c483282d5a1		0.812913356643	-0.0969100130081	-1.30102999566	-18.5505216008	-1.0	-0.0222763947112		2.33442359076		3.86457455936						3.21537315278	-2.70889766964		6.05880548668		3.37689617389	-0.00407098834663	-1.23343101342	
Arenicola marina	8981bb1d5f3ba68ed39eec35e0104438		0.812913356643	-0.0969100130081	-4.0	-7.10479852522	-1.0	-0.0222763947112		2.40725490056		3.62159167586						-5.93930215965	-2.69897000434		2.92613657107		2.71175578529	-0.00130484168834	-0.78850568834	
Argopecten purpuratus	be54afd1d214780315c063fa0def0756		1.07918124605	-0.0969100130081	-4.0	-7.2561767784	-1.0	-0.0222763947112		1.71332250499		3.37548071462				-3.3434227086		-5.54378584464	-2.69897000434		1.87834942222		1.71488359305	-0.0123784178745	-1.41161623162	
Argyrosomus regius	27622ae481976a389f0364896073477f		0.812913356643	-0.0969100130081	-4.0	-8.36011525808	-1.0	-0.0222763947112		0.880012838367		3.72024201829				1.49817266064		-0.77910775078	-2.69897000434		6.32076922834		1.79644180461	-0.0433994117868	-1.10768273928	
Asellus aquaticus	4acab09868db831471b70493b88c5cc0		0.812913356643	-0.0969100130081	-4.0	-7.0435914288	-1.0	-0.0222763947112		2.16613397031		3.64345267649						-1.66334017655	-2.69897000434		-0.622329560666		1.72705056875	-0.0185891598341	-0.755228238505	
Aspidiophorus polystictos	88edfcced5860e504db0c2d25d801715		0.812913356643	-0.0969100130081	-4.0	-3.71805806656	-1.0	-0.0222763947112		2.99184605364		3.11627558758						-4.7452103126	-2.69897000434		-4.07406940213		0.771138992816	-0.244125144328	-2.28878347568	
Asplanchna girodi	7ef4175c71766debbf941dc6e2476c02		0.812913356643	-0.0969100130081	-4.0	-24.692717953	-1.0	-0.0222763947112		3.31868926995		2.96184805902						-2.17076057186	-2.69897000434		-0.927015255372		2.19962081032	-0.507099988891	-0.764471553092	
Asterias rubens	ff6711281e27917bc07b75a921bc2f40		0.812913356643	-0.0506099933551	-4.0	-5.21552535624	-1.0	-0.0222763947112		1.49637605401		3.39811369173				-3.15515019919		-5.32376378324	-2.69897000434		-0.0677799861229		1.87618838611	-0.000869458712629	-1.87419354186	
Asterina gibbosa	9bb47cd93065ef4d4f6c5761a3577c47		0.812913356643	-0.0969100130081	-4.0	-7.1170772094	-1.0	-0.323306390375		1.08062648692		3.45545396878				-1.41273815031		-1.41285050175	-2.69897000434		1.32448823331		1.42703470169	-0.03763066433	-1.63488656837	
Atherina presbyter	8aa69a96e25e63f574382883df9016f5		0.812913356643	-0.0969100130081	-4.0	-6.28108331399	-1.0	-0.0222763947112		1.55424680817		3.71474876073				1.05192391605		0.540079088804	-2.69897000434		3.61930207588		2.08423299604	-0.184023999028	-1.5300307905	
Atractosteus spatula	d3a4b7c1f41f1e5cc48d060d5ec1e28f		0.812913356643	-0.0969100130081	-4.0	-9.73002032335	-1.0	-0.0222763947112		1.4571246263		3.717670503						-0.354381261757	-2.69897000434		6.85769425779		2.94577573245	-0.0204516252959	-1.39361863489	
Balaeniceps rex	16bde12b82a99c26cf61f1229cd3f41a		0.812913356643	-0.0969100130081	-2.0	-64.3613111133	-1.0	-0.0222763947112		2.06326578843		3.86332642965						4.44482519951	-2.69897000434		6.9330314951		3.33002801352	-0.0115079314058	0.398755715773	
Balaenoptera acutorostrata	03989edf0baedd8ab5478fca2ad3b410		0.812913356643	-0.0969100130081	-1.0	-12.1610879726	-1.0	-0.0222763947112		1.51063346859		3.89431883241						8.35602585719	-2.69897000434	8.76604086038	9.79084790397		3.6738094818	-0.200824927585	-1.15200189137	
Balaenoptera musculus	64d8253f41d376fdd1f902527ed187c7		0.812913356643	-0.0969100130081	-0.301029995664	-22.3379035546	-1.0	-0.0222763947112		1.61992771029		3.89437145386						8.04688519084	-2.69897000434	8.65166560392	9.62262842613		3.99364957761	-0.0133178202205	-0.924453038607	
Belone belone	6b4ff497ef77437ec9fad307c08c99a6		0.812913356643	-0.0969100130081	-4.0	-7.88372441242	-1.0	-0.0222763947112		1.60991441009		3.71692107317						-1.62672010672	-2.69897000434		3.04296907339		2.40773412492	-0.00943917000598	-1.90170246351	
Beroe gracilis	d2a147385e1eacebb447e4f9e1558f1e		0.812913356643	-0.0969100130081	-4.0	-4.68909437062	-1.0	-0.323306390375		1.62910365018		2.41497334797				-0.508218224416		-3.63620005452	-2.69897000434		0.654369090975		0.779045699129	-0.11571453766	-1.10496440255	
Beroe ovata	c70014071bb5de21dca3ec0d826bb274		1.27253777738	-0.0969100130081	-4.0	-3.82352962262	-1.0	-0.323306390375		1.22070940488		2.41494662133				-1.44533400851		-2.41142691333	-2.69897000434		1.44051709607		1.48636671152	-0.172376816466	-1.62031203635	
Biomphalaria glabrata	dda69fe8d4ca69ea96e9656a8f4ad747		0.812913356643	-0.0969100130081	-4.0	-6.30094314545	-1.0	-0.323306390375		2.93891981224		3.59659709563				2.56026539786		-0.304956341179	-2.69897000434		3.02530586526		2.26679830941	-0.266802734893	-1.67716072731	
Boa constrictor	253bb4ac5026b77a3adf9b78516913b9		0.812913356643	-0.0969100130081	-4.0	-10.0573471883	-1.0	-0.0222763947112		1.66162340923		3.89409442732						4.99510845774	-2.69897000434		6.91692746611		3.09264696974	-0.206488994207	-1.64016451766	
Bolinopsis mikado	266955574f36a9262c06633951a8c034		1.2552725051	-0.0969100130081	-4.0	-1.92628164965	-1.0	-0.323306390375		1.24526583946		2.4174716932				0.315130317184		-2.89722338512	-2.69897000434		1.63255851453		0.487503199323	-0.207608310502	-3.42055940286	
Bombyx mori	672e63f0b0571acb1c4299a65a1d256a		0.812913356643	-0.698970004336	-4.0	-0.1324735888	-0.301029995664	-0.0222763947112	-26.2861735756	1.42845877352		3.64483232883		-8.68675834286e-05			0.138302698166	-1.23799703062	-2.83863199777				1.95218390779	-0.0596827784258	-1.92009553233	
Boops boops	fb99b92f46db65d7f8a22d33ee501f04		0.812913356643	-0.0969100130081	-4.0	-8.19320972842	-1.0	-0.0222763947112		1.4834446481		3.71600334363				0.461498526783		-1.29251498803	-2.69897000434		4.34517761654		1.6982041025	-0.0332014536166	-1.14788613915	
Bosmina longirostris	869bccad902dfe087fefb3d7f87982d8		0.812913356643	-0.0969100130081	-4.0	-5.1525507375	-1.0	-0.0222763947112		3.14612803568		3.64728514503						-2.82798119058	-2.69897000434		-1.67612939346		1.92236001956	-0.315334135974	-1.64244628026	
Bos primigenius Angus	40e81482006c210a43ef64609163278e		0.812913356643	-0.0969100130081	-1.0	-11.9046458075	-1.0	-0.0222763947112		1.56095221845		3.89111075868						6.66497743715	-2.69897000434	7.50833575813	7.65680419527		3.32486866578	-0.0191053072785	-0.895461677735	2.1536502584
Bos primigenius Brahman	40e81482006c210a43ef64609163278e		0.812913356643	-0.0969100130081	-1.0	-11.3190357136	-1.0	-0.0222763947112		1.396870328		3.89409775269						6.84300840736	-2.69897000434	7.53151340376	7.80020414308		3.20906171777	-0.0248490801142	-0.977410808786	-1.69638713353
Bos primigenius Holstein	40e81482006c210a43ef64609163278e		0.812913356643	-0.0969100130081	-1.0	-11.519832024	-1.0	-0.0222763947112		1.54048839499		3.89462948359						7.01873377666	-2.69897000434	7.24488050688	7.79985519357		3.30995151158	-0.0305090711515	-0.978628748982	1.69478063601
Brachidontes pharaonis	7e58b93994497ead236dd02370e5c733		0.812913356643	-0.124938736608	-4.0	-7.38132446111	-1.0	-0.0222763947112		1.1535099893		3.39410130204				-4.48017200622		-5.4047242882	-2.69897000434		0.335056519439		0.913926118884	-0.00744648216786	-1.72862312811	
Brachionus plicatilis	c1847141382c50836d8cf6c9cea31e71		-0.648010544564	-0.154901959986	-4.0	-2.75597041097	-0.602059991328	-0.0222763947112		2.54394394248		3.18892848376						-3.50417824661	-2.69897000434		-3.20586064423		1.22013424957	-0.550059011227	-1.61172113654	
