Name	CoL ID	p_M (log10 J/d.cm^3)	F_m (log10 l/d.cm^2)	h_a (log10 1/d^2)	p_Am (log10 J/d.cm^2)	k_J (log10 1/d)	kap_X (log10 -)	kap (log10 -)	E_G (log10 J/cm^3)	E_Hb (log10 J)	s_G (log10 -)	v (log10 cm/d)	kap_P (log10 -)	kap_R (log10 -)	E_Hp (log10 J)	p_T (log10 J/d.cm^2)
Acipenser ruthenus	0b96730a682802ff925457b4832bce69	1.07298474463	0.812913356643	-7.73025362687	2.25486214428	-2.69897000434	-0.0969100130081	-0.00261361560269	3.72263392253	-1.62745619924	-4.0	-1.26704363042	-1.0	-0.0222763947112	3.81531204352	
Acipenser sturio	91d2d822ff7160abb9b9e57817711028	1.23754373814	0.812913356643	-9.57057073562	2.92723481737	-2.69897000434	-0.0969100130081	-0.0771189087917	3.71866773532	0.407390904471	-4.0	-1.49770947209	-1.0	-0.0222763947112	6.88991768344	
Aegotheles cristatus	e77dc5c18f2a229366e15a70c599332f	1.48130644222	0.812913356643	-16.448550002	2.07266156512	-2.69897000434	-0.0969100130081	-0.03405080803	3.86270488961	3.46284703583	-1.30102999566	-1.36100186845	-1.0	-0.0222763947112	3.74725639744	
Aethia cristatella	7048c7929886b0410e3501585b00d8a9	2.78802122366	0.812913356643	-14.6013656755	3.46337032729	-2.69897000434	-0.0969100130081	-0.0261796756473	3.86461489588	4.00043407748	-2.0	-0.7136333626	-1.0	-0.0222763947112	6.21058602491	
Aethia pusilla	eedd1a360668ef531a40b98d4493618e	2.87452762205	0.812913356643	-13.9362914406	3.39127746452	-2.69897000434	-0.0969100130081	-0.0275518406492	3.8645217603	3.70035752782	-2.0	-0.778142564581	-1.0	-0.0222763947112	5.83866022599	
Alectura lathami	0af00c8374b5551a726a6d761528a5a8	1.31930389422	0.812913356643	-14.5254923609	2.49301028082	-2.69897000434	-0.0969100130081	-0.115317895794	3.86409794888	5.2650537885	-1.30102999566	-1.01025215213	-1.0	-0.0222763947112	5.38309692995	
Alle alle	d04ac5333679e22045b58982006bcc2d	2.95216208935	0.812913356643	-22.0496351456	3.53081803137	-2.69897000434	-0.0969100130081	-0.00290207592512	3.86459947353	2.85727217356	-2.0	-0.590472632988	-1.0	-0.0222763947112	5.08529057823	
Alligator mississippiensis	258a54f64c1a663997eb9cca0549f840	1.17376882314	0.812913356643	-10.4671182806	2.76728873244	-2.69897000434	-0.0969100130081	-0.0640898635695	3.89558827567	4.38614210893	-4.0	-1.36693572731	-1.0	-0.0222763947112	7.34908316878	
Amia calva	d526fe4bb2cd5cf0d8edcbee9b0a07c4	2.18752072084	0.812913356643	-7.29115436195	3.23574553988	-2.69897000434	-0.0969100130081	-0.24895196518	3.71775369321	0.723373567019	-4.0	-1.59159042153	-1.0	-0.0222763947112	6.13481437032	
Amphisbaena alba	e9c5fca6f18472b4bdb1059cc9b179d0	1.26102483399	0.812913356643	-8.79128998009	2.18865854701	-2.69897000434	-0.0969100130081	-0.0926423918688	3.89459294792	3.61267791832	-4.0	-1.69164905141	-1.0	-0.0222763947112	5.16613397031	
Anas platyrhynchos	d5d9d6e502eb4c9f10b094dfdd935e65	1.27068582206	0.812913356643	-35.3460160926	2.29498398443	-2.69897000434	-0.0969100130081	-0.0277462345505	3.86441376921	4.16938049531	-1.69897000434	-0.440153199261	-1.0	-0.0222763947112	4.85296769103	
